index,title,artist,spot_artist,spot_track,spot_album,track_number,release_date,track_uri,-index
375,Rip Her To Shreds - Remastered,Blondie,Blondie,Rip Her To Shreds - Remastered,Blondie (Remastered),8,1976-12-01,spotify:track:23yUwzz4CQ8yzQ65ATN6Ds,-375
22,Roadrunner (Once),Jonathan Richman & The Modern Lovers,Jonathan Richman & The Modern Lovers,Roadrunner (Once),Roadrunner: The Beserkley Collection,21,2004-07-19,spotify:track:1zMaPLfjieOq8DBr5xDkwF,-22
30,Rock 'N' Roll High School (Ed Stasium Version),Ramones,Ramones,Rock 'N' Roll High School (Ed Stasium Version),En el Disco-Bar,2,2018-06-25,spotify:track:0CcnRBQmFt3QZKdarFovFt,-30
3,"Rock And Roll, Hootchie Koo",Rick Derringer,Rick Derringer,"Rock And Roll, Hootchie Koo","Rock And Roll, Hootchie Koo",1,2015-02-24,spotify:track:5G7yKOQxh1RjxNeRdgoeW0,-3
291,Rock Lobster,The B-52's,The B-52's,Rock Lobster,The B-52's,4,1979-07-11,spotify:track:2Q5wSOwq6BDSu7sSVMNrtT,-291
315,Roll Away the Stone,Mott The Hoople,Mott The Hoople,Roll Away the Stone,The Hoople,9,1974,spotify:track:7cQXdm6y9KE8n1Lw2z75Ey,-315
215,Rosalita (Come Out Tonight),Bruce Springsteen,Bruce Springsteen,Rosalita (Come Out Tonight),"The Wild, the Innocent & The E Street Shuffle",6,1973-09-11,spotify:track:4Z80C8NlDd1AO4axf1O3n0,-215
327,Roxanne,The Police,The Police,Roxanne,Outlandos D'Amour (Remastered 2003),3,1978-11-02,spotify:track:3EYOJ48Et32uATr9ZmLnAo,-327
226,Run Like Hell,Pink Floyd,Pink Floyd,Run Like Hell,The Wall,9,1979-11-30,spotify:track:0EaLRxrtnq7Mqhdf8q9txr,-226
230,Sad Songs,The Rockets,The Rockets,Sad Songs,No Ballads,7,1979,spotify:track:6HiJYRfb7COTBAeUvmOge7,-230
10,Saints,The Flashbulb,The Flashbulb,Saints,Piety of Ashes,4,2017-09-01,spotify:track:2TdJAG0Xowlqtp1pXfaRZ9,-10
175,Samson and Delilah - 2014 Remaster,Grateful Dead,Grateful Dead,Samson and Delilah - 2014 Remaster,Terrapin Station (2014 Remaster),4,1977,spotify:track:1r4TpmnDEOEW7HCcCVoErG,-175
359,Saucy Sailor - 2009 Remaster,Steeleye Span,Steeleye Span,Saucy Sailor - 2009 Remaster,Below the Salt (2009 Remaster),9,1972-10-14,spotify:track:0FTlmN2tsu9jYX79dkVf3V,-359
85,Say Goodbye to Hollywood,Billy Joel,Billy Joel,Say Goodbye to Hollywood,Turnstiles,1,1976-05-19,spotify:track:3YNFRvI0WnbvFdxUCQiKjR,-85
139,Search & Destroy,The Dictators,The Dictators,Search & Destroy,Manifest Destiny,9,1977,spotify:track:6M9hO0vCcNQEzSKfbT9b50,-139
17,Searchin' for a Rainbow,The Marshall Tucker Band,The Marshall Tucker Band,Searchin' for a Rainbow,Greatest Hits,7,2011-01-01,spotify:track:5zS2DXR0XKNsVQSCHGEhx2,-17
6,Sex and Drugs and Rock 'n' Roll - Live,Ian Dury,Ian Dury,Sex and Drugs and Rock 'n' Roll - Live,"Live At Rockpalast (WDR Studio L, Cologne, 21.02.1978)",1,2012-07-27,spotify:track:0VmTayc6Xw6YujsNXLWWJ2,-6
23,Shadow Play,Rory Gallagher,Rory Gallagher,Shadow Play,Photo Finish (Remastered 2017),6,1978-10-01,spotify:track:15PTVLJS4Kczhnwl0FWFsh,-23
25,Shakedown Cruise,Jay Ferguson,Jay Ferguson,Shakedown Cruise,Real Life Ain't This Way,1,2005-07-26,spotify:track:4pNJhFtUGs7UQL61NiPP31,-25
8,Shoo Be Doo,The Cars,The Cars,Shoo Be Doo,Candy-O,5,1979,spotify:track:4b352js1XPPKfsA6Qxy6fb,-8
260,Sidewalk Cafe - 2015 Remaster,Todd Rundgren,Todd Rundgren,Sidewalk Cafe - 2015 Remaster,Todd,12,1974,spotify:track:0QtGE05BId1adMxjxWetT8,-260
NA,silver lady,intergalactic turing band,NA,NA,NA,NA,NA,NA,NA
366,Simple Visions,Strawbs,Strawbs,Simple Visions,Alive In America,5,2007,spotify:track:1qkGNf0lOmYrmVBQE83dGq,-366
235,"Sing It, Shout It",Starz,Starz,"Sing It, Shout It",Violation (Expanded Edition),3,1977-05-01,spotify:track:6SdveBDFBgKRRtgpWwee1W,-235
142,Sky Pilot,Eric Burdon & the Animals,Eric Burdon & the Animals,Sky Pilot,The Twain Shall Meet,6,1968-01-01,spotify:track:1YlFODzWlgk4EFqlt4PkvB,-142
