play order,title,artist,track.external_urls.spotify,track.duration_ms,track.popularity,track.track_number,track.uri,track.album.name,track.album.release_date
242,Eleventh Earl of Mar,Genesis,https://open.spotify.com/track/68XW0RSoGt3TWxPiwhwzs6,464306,26,1,spotify:track:68XW0RSoGt3TWxPiwhwzs6,Wind & Wuthering,1976-12-27
243,Takin' You Down,The J. Geils Band,https://open.spotify.com/track/3jB4QwXDuF4K88L2ZmBo1c,245920,16,3,spotify:track:3jB4QwXDuF4K88L2ZmBo1c,Love Stinks,1980
244,Games People Play,The Spinners,https://open.spotify.com/track/53R01ylELwpQO5TBZdqKsM,284133,43,7,spotify:track:53R01ylELwpQO5TBZdqKsM,Pick of the Litter,1975
245,Jane,Jefferson Starship,https://open.spotify.com/track/2RNd6VgxG19db0zs0M1C4Z,252200,63,1,spotify:track:2RNd6VgxG19db0zs0M1C4Z,Freedom At Point Zero,1979-11-01
246,Girl's Talk,Linda Ronstadt,https://open.spotify.com/track/5odTKsQUY4a7TrYeZBB0Ig,200760,19,9,spotify:track:5odTKsQUY4a7TrYeZBB0Ig,Mad Love,1980
247,I Love You (Miss Robot),The Buggles,https://open.spotify.com/track/2qjsM7JuIL9b2qDNcWZK16,299373,21,4,spotify:track:2qjsM7JuIL9b2qDNcWZK16,The Age Of Plastic,1980-01-10
248,Talk To Me,Southside Johnny And The Asbury Jukes,https://open.spotify.com/track/56c5t4CXg54TjmiGR6ptfL,237866,33,3,spotify:track:56c5t4CXg54TjmiGR6ptfL,Havin' A Party With Southside Johnny,1976
249,Be My Baby,The Ronettes,https://open.spotify.com/track/2G2YzndIA6jeWFPBXhUjh5,160906,71,2,spotify:track:2G2YzndIA6jeWFPBXhUjh5,Be My Baby: The Very Best of The Ronettes,2011-02-22
250,The Power and the Glory,Horslips,https://open.spotify.com/track/2PWeg8K7qGnt340yoDo7vH,236600,16,4,spotify:track:2PWeg8K7qGnt340yoDo7vH,The Book of Invasions (Bonus Tracks Version),2009-08-14
251,And the Cradle Will Rock... - 2015 Remaster,Van Halen,https://open.spotify.com/track/4MM0jT9z9m7VFiusFrGJ8C,213150,49,1,spotify:track:4MM0jT9z9m7VFiusFrGJ8C,Women and Children First (Remastered),1980-03-26
252,Sidewalk Cafe - 2015 Remaster,Todd Rundgren,https://open.spotify.com/track/0QtGE05BId1adMxjxWetT8,135480,12,12,spotify:track:0QtGE05BId1adMxjxWetT8,Todd,1974
253,Kid,Pretenders,https://open.spotify.com/track/7GDWFVbILOgSzE5w12XTnc,184506,0,15,spotify:track:7GDWFVbILOgSzE5w12XTnc,Original New Wave,2020-07-31
254,Do You Remember Rock and Roll Radio?,Ramones,https://open.spotify.com/track/6hGMlZMkzZ2pvKB0P9UDaf,231440,23,3,spotify:track:6hGMlZMkzZ2pvKB0P9UDaf,Mania,1988-05-31
255,Kid Dynamo,The Buggles,https://open.spotify.com/track/7FYkWbEQ81Axs3sxpXM5hg,210693,23,3,spotify:track:7FYkWbEQ81Axs3sxpXM5hg,The Age Of Plastic,1980-01-10
256,(I Live For) Cars and Girls,The Dictators,https://open.spotify.com/track/0OIclmUecLQo5hyHhhLcFF,237440,30,9,spotify:track:0OIclmUecLQo5hyHhhLcFF,Go Girl Crazy!,1975-03-29
257,Bounty Hunter,Molly Hatchet,https://open.spotify.com/track/50d2zWUEVp9jn0EphgvdWe,177600,43,1,spotify:track:50d2zWUEVp9jn0EphgvdWe,Molly Hatchet,1978
258,Badge,Cream,https://open.spotify.com/track/08xsXR637CEqbxJmpFcuSA,164706,52,4,spotify:track:08xsXR637CEqbxJmpFcuSA,Goodbye,1969-03-01
259,Fire (Santa Dog),The Residents,https://open.spotify.com/track/4FadjoEqtHpte2vaYhLCTg,105453,4,1,spotify:track:4FadjoEqtHpte2vaYhLCTg,80 Aching Orphans: 45 Years Of The Residents 4cd Hardback Book Anthology Set,2017-10-13
260,Money,The Flying Lizards,https://open.spotify.com/track/5rgY6vN5CaEL3boucCi3CT,338186,37,6,spotify:track:5rgY6vN5CaEL3boucCi3CT,The Flying Lizards,1979
261,Brass in Pocket - 2006 Remaster,Pretenders,https://open.spotify.com/track/1QaJWSCk3UMKLotnPCIHh1,185960,62,10,spotify:track:1QaJWSCk3UMKLotnPCIHh1,Pretenders,1980-01-11
262,Planet Claire,The B-52's,https://open.spotify.com/track/5aC0QmgjYGG8QYgAg06nTk,277640,46,1,spotify:track:5aC0QmgjYGG8QYgAg06nTk,The B-52's,1979-07-11
263,The Vanilla Queen,Golden Earring,https://open.spotify.com/track/5cpKDL7ArW8F2JtUk0wuQM,556293,29,6,spotify:track:5cpKDL7ArW8F2JtUk0wuQM,Moontan,1973
264,in love i wanna be,Michalski & Oosterveen,,,,,,,
